Date,Population,DAYOFWEEK,DAYOFYEAR,enso,mean_humidity,mean_solar_radiation,mean_temp,mean_wind_direction,mean_windspeed,rainfall
2032-06-30,9374569.916666666,5.0,114.0,0.0,71.74833333333333,76.47916666666667,19.668333333333333,202.8741666666667,1.2908333333333333,0.0
2032-07-01,9382181.5,,,,,,,,,
2032-07-31,9382181.5,6.0,115.0,0.0,71.85166666666667,109.32083333333333,16.756666666666668,218.3141666666667,1.9625,9.0
2032-08-01,9389793.083333334,,,,,,,,,
2032-08-31,9389793.083333334,0.0,116.0,0.0,64.56541666666668,186.79166666666663,13.720416666666663,203.106875,1.5897916666666667,0.0
2032-09-01,9397404.666666666,,,,,,,,,
2032-09-30,9397404.666666666,1.0,117.0,0.0,73.15416666666667,53.29166666666666,12.188541666666666,276.26354166666664,1.0510416666666669,0.0
2032-10-01,9405016.25,,,,,,,,,
2032-10-31,9405016.25,2.0,118.0,0.0,57.04375,183.36666666666667,15.402083333333335,264.809375,2.0541666666666667,0.0
2032-11-01,9412627.833333334,,,,,,,,,
2032-11-30,9412627.833333334,3.0,119.0,0.0,55.77805555555556,179.9416666666667,15.568055555555556,243.01083333333332,2.631388888888889,0.0
2032-12-01,9420239.416666666,,,,,,,,,
2032-12-31,9420239.416666666,4.0,120.0,0.0,72.31583333333333,56.11875,13.83,200.355,1.9016666666666664,0.0
2033-01-01,9427851.0,,,,,,,,,
2033-01-31,9427851.0,5.0,121.0,0.0,79.45583333333333,96.86666666666667,15.006666666666666,152.88750000000002,1.2791666666666666,1.0
2033-02-01,9435338.5,,,,,,,,,
2033-02-28,9435338.5,6.0,122.0,0.0,73.28083333333333,169.38333333333333,16.1725,236.40583333333333,1.3158333333333332,0.0
2033-03-01,9442826.0,,,,,,,,,
2033-03-31,9442826.0,0.0,123.0,0.0,78.56666666666668,111.40833333333336,16.2075,169.7483333333333,1.7033333333333334,0.0
2033-04-01,9450313.5,,,,,,,,,
2033-04-30,9450313.5,1.0,124.0,0.0,78.53729166666666,133.02916666666667,16.796875,158.78875,1.273125,0.0
