Date,Population
2039-09-01,10002128.0
2039-10-01,10008988.75
2039-11-01,10015849.5
2039-12-01,10022710.25
2040-01-01,10029571.0
2040-02-01,10036335.666666666
2040-03-01,10043100.333333334
2040-04-01,10049865.0
2040-05-01,10056629.666666666
2040-06-01,10063394.333333334
2040-07-01,10070159.0
2040-08-01,10076923.666666666
2040-09-01,10083688.333333334
2040-10-01,10090453.0
2040-11-01,10097217.666666666
2040-12-01,10103982.333333334
2041-01-01,10110747.0
2041-02-01,10117413.25
2041-03-01,10124079.5
2041-04-01,10130745.75
2041-05-01,10137412.0
2041-06-01,10144078.25
2041-07-01,10150744.5
2041-08-01,10157410.75
2041-09-01,10164077.0
2041-10-01,10170743.25
2041-11-01,10177409.5
2041-12-01,10184075.75
2042-01-01,10190742.0
2042-02-01,10197307.083333334
2042-03-01,10203872.166666666
2042-04-01,10210437.25
2042-05-01,10217002.333333334
2042-06-01,10223567.416666666
2042-07-01,10230132.5
2042-08-01,10236697.583333334
2042-09-01,10243262.666666666
2042-10-01,10249827.75
2042-11-01,10256392.833333334
2042-12-01,10262957.916666666
2043-01-01,10269523.0
2043-02-01,10275983.833333334
2043-03-01,10282444.666666666
2043-04-01,10288905.5
2043-05-01,10295366.333333334
2043-06-01,10301827.166666666
2043-07-01,10308288.0
2043-08-01,10314748.833333334
2043-09-01,10321209.666666666
2043-10-01,10327670.5
2043-11-01,10334131.333333334
2043-12-01,10340592.166666666
2044-01-01,10347053.0
2044-02-01,10353407.666666666
2044-03-01,10359762.333333334
2044-04-01,10366117.0
2044-05-01,10372471.666666666
2044-06-01,10378826.333333334
2044-07-01,10385181.0
2044-08-01,10391535.666666666
2044-09-01,10397890.333333334
2044-10-01,10404245.0
2044-11-01,10410599.666666666
2044-12-01,10416954.333333334
2045-01-01,10423309.0
2045-02-01,10429553.916666666
2045-03-01,10435798.833333334
2045-04-01,10442043.75
2045-05-01,10448288.666666666
2045-06-01,10454533.583333334
2045-07-01,10460778.5
2045-08-01,10467023.416666666
2045-09-01,10473268.333333334
2045-10-01,10479513.25
2045-11-01,10485758.166666666
