20121022,20121028,0.29
20121029,20121104,0.31
20121105,20121111,0.16
20121112,20121118,0.15
20121119,20121125,0.16
20121126,20121202,0.09
20121203,20121209,0.17
20121210,20121216,0.19
20121217,20121223,-0.10
20121224,20121230,-0.13
20121231,20130106,-0.25
20130107,20130113,-0.37
20130114,20130120,-0.38
20130121,20130127,-0.40
20130128,20130203,-0.48
20130204,20130210,-0.41
20130211,20130217,-0.39
20130218,20130224,-0.47
20130225,20130303,-0.26
20130304,20130310,-0.21
20130311,20130317,-0.30
20130318,20130324,-0.15
20130325,20130331,-0.16
20130401,20130407,-0.10
20130408,20130414,-0.22
20130415,20130421,-0.24
20130422,20130428,-0.12
20130429,20130505,-0.15
20130506,20130512,-0.25
20130513,20130519,-0.46
20130520,20130526,-0.47
20130527,20130602,-0.29
20130603,20130609,-0.27
20130610,20130616,-0.27
20130617,20130623,-0.47
20130624,20130630,-0.33
20130701,20130707,-0.39
20130708,20130714,-0.45
20130715,20130721,-0.50
20130722,20130728,-0.31
20130729,20130804,-0.25
20130805,20130811,-0.38
20130812,20130818,-0.39
20130819,20130825,-0.38
20130826,20130901,-0.13
20130902,20130908,0.01
20130909,20130915,0.02
20130916,20130922,-0.08
20130923,20130929,-0.21
20130930,20131006,-0.33
20131007,20131013,-0.48
20131014,20131020,-0.34
20131021,20131027,-0.29
20131028,20131103,-0.03
20131104,20131110,-0.03
20131111,20131117,-0.08
20131118,20131124,0.05
20131125,20131201,0.00
20131202,20131208,0.15
20131209,20131215,-0.02
20131216,20131222,-0.07
20131223,20131229,-0.13
20131230,20140105,-0.17
20140106,20140112,-0.27
20140113,20140119,-0.40
20140120,20140126,-0.37
20140127,20140202,-0.45
20140203,20140209,-0.43
20140210,20140216,-0.51
20140217,20140223,-0.60
20140224,20140302,-0.48
20140303,20140309,-0.40
20140310,20140316,-0.23
20140317,20140323,-0.21
20140324,20140330,-0.01
20140331,20140406,0.09
20140407,20140413,0.08
20140414,20140420,0.10
20140421,20140427,0.17
20140428,20140504,0.24
20140505,20140511,0.33
20140512,20140518,0.32
20140519,20140525,0.36
20140526,20140601,0.37
20140602,20140608,0.34
20140609,20140615,0.21
20140616,20140622,0.32
20140623,20140629,0.36
20140630,20140706,0.17
20140707,20140713,0.01
20140714,20140720,-0.04
20140721,20140727,-0.19
20140728,20140803,0.04
20140804,20140810,0.19
20140811,20140817,0.15
20140818,20140824,0.37
20140825,20140831,0.40
20140901,20140907,0.35
20140908,20140914,0.44
