Date,Population,enso,mean_humidity,mean_solar_radiation,mean_temp,mean_wind_direction,mean_windspeed,rainfall,Year,Week,Predicted_Demand
2052-08-25,10956198.337979091,0.0,76.47847222222222,186.08541666666667,17.407142857142855,167.87986111111113,1.150595238095238,0.0,2052,34,7228.082449583339
2052-09-01,10957398.458188154,0.0,81.09236111111112,103.9625,18.579166666666666,169.80694444444444,1.3035714285714286,0.0,2052,35,7601.4063412500145
2052-09-08,10958598.578397213,0.0,87.9886111111111,99.69791666666669,17.75436507936508,172.85625000000002,1.2323809523809524,1.0,2052,36,7718.332373333343
2052-09-15,10959798.698606271,0.0,83.65625,180.3895833333333,19.29642857142857,143.02833333333334,1.5541666666666665,4.6,2052,37,7634.691523749998
2052-09-22,10960998.818815332,0.0,80.71458333333334,131.45208333333332,20.151190476190475,205.62916666666663,1.338690476190476,0.0,2052,38,7772.445425000041
2052-09-29,10962198.93902439,0.0,86.15486111111112,35.81458333333333,16.451785714285716,197.7111111111111,1.513690476190476,0.2,2052,39,7709.65699916667
2052-10-06,10963399.05923345,0.0,93.73055555555555,30.852083333333336,15.836309523809524,176.26944444444442,1.7523809523809524,30.5,2052,40,7332.251460416683
2052-10-13,10964599.179442508,0.0,75.84513888888888,207.4270833333333,18.629761904761903,205.44166666666663,1.7026785714285717,20.3,2052,41,7116.329281250004
2052-10-20,10965799.299651569,0.0,85.64097222222222,119.51666666666668,16.669047619047618,186.42875,0.9562500000000002,0.0,2052,42,7652.935445000008
2052-10-27,10966999.419860628,0.0,74.88333333333334,159.825,14.721428571428572,220.34652777777777,1.983928571428572,1.0,2052,43,7344.211097916688
2052-11-03,10968199.540069686,0.0,55.66388888888889,183.0875,16.869642857142857,251.02638888888887,4.214285714285714,4.0,2052,44,7465.300205833316
2052-11-10,10969399.660278743,0.0,57.09875,207.88333333333333,16.553075396825395,210.1230555555556,2.899107142857144,0.0,2052,45,7530.004247083309
2052-11-17,10970599.780487806,0.0,75.98194444444444,123.44375,15.775,204.85694444444445,1.9648809523809525,0.0,2052,46,7503.545463333324
2052-11-24,10971799.900696864,0.0,85.26930555555555,145.01874999999998,16.705357142857142,176.35388888888892,1.1461309523809524,3.0,2052,47,7636.950102916672
2052-12-01,10973000.020905923,0.0,84.77611111111112,141.23541666666668,15.8125,195.44222222222223,1.508234126984127,0.0,2052,48,7288.533135416671
2052-12-08,10974200.141114982,0.0,76.7725,161.03958333333333,15.545138888888888,177.00333333333333,1.292361111111111,0.0,2052,49,7431.502517916703
2052-12-15,10975400.261324042,0.0,74.81263888888888,181.97916666666663,16.23422619047619,161.20069444444445,1.179563492063492,0.0,2052,50,7395.533821250006
2052-12-22,10976600.3815331,0.0,78.65138888888889,174.48541666666665,17.47738095238095,198.65069444444444,1.1458333333333333,0.0,2052,51,7320.622777083334
2052-12-29,10977800.50174216,0.0,76.08472222222223,172.38750000000002,20.505357142857143,220.3944444444444,1.6833333333333331,2.0,2052,52,7621.209970833367
2053-01-05,10979000.62195122,0.0,94.29305555555555,28.75208333333333,18.806547619047617,123.25541666666668,0.7710317460317461,2.0,2053,1,7845.084757083284
2053-01-12,10980200.74216028,0.0,83.75555555555556,104.50416666666666,20.55297619047619,147.85763888888889,1.2720238095238094,0.0,2053,2,7628.944497916695
2053-01-19,10981400.862369338,0.0,77.98541666666667,173.79375000000002,16.35297619047619,212.93194444444444,2.3178571428571426,2.0,2053,3,7190.499477083334
2053-01-26,10982600.982578397,0.0,90.34027777777776,18.01875,12.670833333333333,197.3923611111111,3.7511904761904766,11.0,2053,4,8241.668505833302
2053-02-02,10983801.102787456,0.0,86.77194444444444,41.99583333333333,13.227678571428571,189.30416666666667,4.688095238095238,126.4,2053,5,8048.650487916693
2053-02-09,10985001.222996516,0.0,91.76944444444445,47.364583333333336,15.23392857142857,210.71041666666667,3.330357142857143,115.0,2053,6,7804.992260416665
