Year,Week,Predicted_Demand,Date
2026,8,59910.41,2026-02-23
2026,9,60859.176,2026-03-02
2026,10,60496.363,2026-03-09
2026,11,60110.82,2026-03-16
2026,12,60044.234,2026-03-23
2026,13,59707.35,2026-03-30
2026,14,59788.418,2026-04-06
2026,15,58662.594,2026-04-13
2026,16,57889.844,2026-04-20
2026,17,59071.383,2026-04-27
2026,18,60990.836,2026-05-04
2026,19,61015.332,2026-05-11
2026,20,60301.227,2026-05-18
2026,21,59287.23,2026-05-25
2026,22,60026.59,2026-06-01
2026,23,62198.777,2026-06-08
2026,24,64234.156,2026-06-15
2026,25,63888.152,2026-06-22
2026,26,65385.594,2026-06-29
2026,27,66587.016,2026-07-06
2026,28,66883.7,2026-07-13
2026,29,66251.21,2026-07-20
2026,30,65399.266,2026-07-27
2026,31,63105.207,2026-08-03
2026,32,64376.434,2026-08-10
2026,33,65717.695,2026-08-17
2026,34,62301.164,2026-08-24
2026,35,61214.125,2026-08-31
2026,36,61334.645,2026-09-07
2026,37,58178.445,2026-09-14
2026,38,58771.52,2026-09-21
2026,39,57362.367,2026-09-28
2026,40,56965.586,2026-10-05
2026,41,56213.96,2026-10-12
2026,42,58520.19,2026-10-19
2026,43,58335.05,2026-10-26
2026,44,57308.426,2026-11-02
2026,45,56572.547,2026-11-09
2026,46,57367.25,2026-11-16
2026,47,59842.516,2026-11-23
2026,48,57509.258,2026-11-30
2026,49,58648.703,2026-12-07
2026,50,56683.164,2026-12-14
2026,51,57206.99,2026-12-21
2026,52,58064.062,2026-12-28
2026,53,35739.938,2027-01-04
2027,1,64006.84,2027-01-04
2027,2,63701.91,2027-01-11
2027,3,63836.688,2027-01-18
2027,4,58867.86,2027-01-25
2027,5,59707.453,2027-02-01
2027,6,61786.863,2027-02-08
2027,7,61693.805,2027-02-15
2027,8,60954.992,2027-02-22
2027,9,59408.582,2027-03-01
2027,10,59891.727,2027-03-08
2027,11,59253.867,2027-03-15
2027,12,57874.094,2027-03-22
2027,13,58690.66,2027-03-29
2027,14,58270.18,2027-04-05
2027,15,58366.625,2027-04-12
2027,16,61280.01,2027-04-19
2027,17,59269.99,2027-04-26
2027,18,60665.453,2027-05-03
2027,19,62503.023,2027-05-10
2027,20,61702.133,2027-05-17
2027,21,64021.56,2027-05-24
2027,22,65826.38,2027-05-31
2027,23,62500.957,2027-06-07
2027,24,64826.54,2027-06-14
2027,25,65788.625,2027-06-21
2027,26,67749.98,2027-06-28
2027,27,68190.7,2027-07-05
2027,28,68128.02,2027-07-12
2027,29,63573.04,2027-07-19
2027,30,64121.176,2027-07-26
2027,31,66632.93,2027-08-02
2027,32,63276.85,2027-08-09
2027,33,60675.633,2027-08-16
2027,34,61244.812,2027-08-23
2027,35,60041.383,2027-08-30
2027,36,58400.133,2027-09-06
2027,37,57294.973,2027-09-13
2027,38,59571.39,2027-09-20
2027,39,56597.016,2027-09-27
2027,40,58177.27,2027-10-04
2027,41,57271.066,2027-10-11
2027,42,56698.668,2027-10-18
2027,43,56365.445,2027-10-25
2027,44,57001.168,2027-11-01
2027,45,56580.88,2027-11-08
2027,46,60437.574,2027-11-15
2027,47,58295.19,2027-11-22
2027,48,58196.516,2027-11-29
2027,49,59089.473,2027-12-06
2027,50,60974.543,2027-12-13
2027,51,56509.105,2027-12-20
2027,52,42587.36,2027-12-27
2027,53,27635.44,2028-01-03
2028,1,64258.0,2028-01-03
2028,2,60298.45,2028-01-10
2028,3,64924.71,2028-01-17
2028,4,64171.53,2028-01-24
2028,5,58492.203,2028-01-31
2028,6,63593.656,2028-02-07
2028,7,60335.992,2028-02-14
2028,8,59926.87,2028-02-21
2028,9,59096.508,2028-02-28
2028,10,58023.086,2028-03-06
2028,11,61550.043,2028-03-13
2028,12,58079.24,2028-03-20
2028,13,59827.234,2028-03-27
2028,14,59165.695,2028-04-03
2028,15,60339.406,2028-04-10
2028,16,57130.406,2028-04-17
2028,17,58321.31,2028-04-24
2028,18,58208.82,2028-05-01
2028,19,60792.79,2028-05-08
2028,20,59358.5,2028-05-15
2028,21,60211.387,2028-05-22
2028,22,62403.066,2028-05-29
2028,23,64126.156,2028-06-05
2028,24,63458.348,2028-06-12
2028,25,64998.938,2028-06-19
2028,26,65250.156,2028-06-26
2028,27,63816.8,2028-07-03
2028,28,65475.11,2028-07-10
2028,29,64259.004,2028-07-17
2028,30,61448.12,2028-07-24
2028,31,62517.695,2028-07-31
2028,32,60865.42,2028-08-07
2028,33,63487.02,2028-08-14
2028,34,63540.527,2028-08-21
2028,35,62289.152,2028-08-28
2028,36,58027.53,2028-09-04
2028,37,56358.32,2028-09-11
2028,38,59397.582,2028-09-18
2028,39,56317.266,2028-09-25
2028,40,57702.445,2028-10-02
2028,41,56059.4,2028-10-09
2028,42,55731.3,2028-10-16
2028,43,54841.848,2028-10-23
2028,44,58657.016,2028-10-30
2028,45,54730.438,2028-11-06
2028,46,56036.832,2028-11-13
2028,47,55445.355,2028-11-20
2028,48,55500.152,2028-11-27
2028,49,56387.605,2028-12-04
2028,50,57775.46,2028-12-11
2028,51,56687.492,2028-12-18
2028,52,81023.18,2028-12-25
2029,1,70385.37,2029-01-01
2029,2,63363.39,2029-01-08
2029,3,62247.668,2029-01-15
2029,4,61270.09,2029-01-22
2029,5,62135.305,2029-01-29
2029,6,62251.375,2029-02-05
2029,7,58923.0,2029-02-12
2029,8,60783.543,2029-02-19
2029,9,58294.656,2029-02-26
2029,10,58381.87,2029-03-05
2029,11,57908.703,2029-03-12
2029,12,59017.438,2029-03-19
2029,13,57609.742,2029-03-26
2029,14,56638.926,2029-04-02
2029,15,56291.22,2029-04-09
2029,16,56949.69,2029-04-16
2029,17,58292.547,2029-04-23
2029,18,58129.258,2029-04-30
2029,19,59107.375,2029-05-07
2029,20,60861.824,2029-05-14
2029,21,61311.527,2029-05-21
2029,22,60524.12,2029-05-28
2029,23,65540.914,2029-06-04
2029,24,64472.547,2029-06-11
2029,25,62495.086,2029-06-18
2029,26,69574.984,2029-06-25
2029,27,64726.258,2029-07-02
2029,28,63614.895,2029-07-09
2029,29,65308.4,2029-07-16
2029,30,62574.586,2029-07-23
2029,31,64472.86,2029-07-30
2029,32,63131.6,2029-08-06
2029,33,60886.367,2029-08-13
2029,34,62132.22,2029-08-20
2029,35,59272.336,2029-08-27
2029,36,59964.652,2029-09-03
2029,37,58158.945,2029-09-10
2029,38,56690.75,2029-09-17
2029,39,57811.547,2029-09-24
2029,40,56984.305,2029-10-01
2029,41,56969.695,2029-10-08
2029,42,56494.66,2029-10-15
2029,43,57494.207,2029-10-22
2029,44,57203.676,2029-10-29
2029,45,57796.9,2029-11-05
2029,46,57560.438,2029-11-12
2029,47,57482.613,2029-11-19
2029,48,56856.555,2029-11-26
2029,49,58773.08,2029-12-03
2029,50,57296.5,2029-12-10
2029,51,56501.15,2029-12-17
2029,52,59768.773,2029-12-24
2030,1,68854.06,2030-01-07
2030,2,61783.32,2030-01-14
2030,3,61309.17,2030-01-21
2030,4,62753.8,2030-01-28
2030,5,70054.945,2030-02-04
2030,6,59271.285,2030-02-11
2030,7,61047.516,2030-02-18
2030,8,59404.133,2030-02-25
2030,9,59219.1,2030-03-04
2030,10,58937.203,2030-03-11
2030,11,58431.73,2030-03-18
2030,12,57981.13,2030-03-25
2030,13,57313.848,2030-04-01
2030,14,55824.414,2030-04-08
2030,15,57495.344,2030-04-15
2030,16,56809.867,2030-04-22
2030,17,57075.984,2030-04-29
2030,18,59674.062,2030-05-06
2030,19,63177.65,2030-05-13
2030,20,60963.05,2030-05-20
2030,21,60717.953,2030-05-27
2030,22,60631.734,2030-06-03
2030,23,65247.074,2030-06-10
2030,24,63063.836,2030-06-17
2030,25,63463.16,2030-06-24
2030,26,62354.07,2030-07-01
2030,27,64022.016,2030-07-08
2030,28,65640.0,2030-07-15
2030,29,65408.73,2030-07-22
2030,30,64205.895,2030-07-29
2030,31,58866.0,2030-08-05
2030,32,63355.11,2030-08-12
2030,33,61968.35,2030-08-19
2030,34,59257.133,2030-08-26
2030,35,57634.77,2030-09-02
2030,36,58537.812,2030-09-09
2030,37,56404.516,2030-09-16
2030,38,54990.67,2030-09-23
2030,39,58102.477,2030-09-30
2030,40,59250.883,2030-10-07
2030,41,56052.94,2030-10-14
2030,42,54624.215,2030-10-21
2030,43,57460.797,2030-10-28
2030,44,55106.367,2030-11-04
2030,45,57210.7,2030-11-11
2030,46,57722.297,2030-11-18
2030,47,56657.61,2030-11-25
2030,48,55897.496,2030-12-02
2030,49,56099.375,2030-12-09
2030,50,54859.227,2030-12-16
2030,51,55718.31,2030-12-23
2030,52,55162.605,2030-12-30
2031,1,69897.375,2031-01-06
2031,2,62062.7,2031-01-13
2031,3,61290.617,2031-01-20
2031,4,60927.797,2031-01-27
2031,5,59241.586,2031-02-03
2031,6,59451.49,2031-02-10
2031,7,56672.855,2031-02-17
2031,8,59240.234,2031-02-24
2031,9,57911.055,2031-03-03
2031,10,58254.32,2031-03-10
2031,11,57310.0,2031-03-17
2031,12,57696.86,2031-03-24
2031,13,57147.062,2031-03-31
2031,14,55982.33,2031-04-07
2031,15,55478.055,2031-04-14
2031,16,56788.613,2031-04-21
2031,17,55877.582,2031-04-28
2031,18,57551.516,2031-05-05
2031,19,57580.613,2031-05-12
2031,20,59422.36,2031-05-19
2031,21,60979.477,2031-05-26
2031,22,58851.22,2031-06-02
2031,23,61629.918,2031-06-09
2031,24,62108.14,2031-06-16
2031,25,64436.664,2031-06-23
2031,26,61561.12,2031-06-30
2031,27,63826.35,2031-07-07
2031,28,63574.97,2031-07-14
2031,29,60983.61,2031-07-21
2031,30,62897.047,2031-07-28
2031,31,60605.082,2031-08-04
2031,32,59908.895,2031-08-11
2031,33,58451.6,2031-08-18
2031,34,60357.97,2031-08-25
2031,35,55573.027,2031-09-01
2031,36,54713.977,2031-09-08
2031,37,55809.97,2031-09-15
2031,38,54697.07,2031-09-22
2031,39,53831.484,2031-09-29
2031,40,54310.13,2031-10-06
2031,41,54478.836,2031-10-13
2031,42,54500.035,2031-10-20
2031,43,54846.83,2031-10-27
2031,44,53633.586,2031-11-03
2031,45,55730.72,2031-11-10
2031,46,54145.023,2031-11-17
2031,47,53705.062,2031-11-24
2031,48,53850.76,2031-12-01
2031,49,55223.79,2031-12-08
2031,50,56160.516,2031-12-15
2031,51,59967.31,2031-12-22
2031,52,55378.668,2031-12-29
2032,1,34149.35,2032-01-05
2032,2,58558.793,2032-01-12
2032,3,62872.22,2032-01-19
2032,4,57149.977,2032-01-26
2032,5,61343.65,2032-02-02
2032,6,57443.73,2032-02-09
2032,7,58515.895,2032-02-16
2032,8,57235.465,2032-02-23
2032,9,57340.383,2032-03-01
2032,10,57720.875,2032-03-08
2032,11,56535.46,2032-03-15
2032,12,57206.99,2032-03-22
2032,13,56466.395,2032-03-29
2032,14,56167.29,2032-04-05
2032,15,55559.742,2032-04-12
2032,16,54433.984,2032-04-19
2032,17,55669.836,2032-04-26
2032,18,58136.26,2032-05-03
2032,19,57111.695,2032-05-10
2032,20,57022.875,2032-05-17
2032,21,55836.93,2032-05-24
2032,22,57231.273,2032-05-31
2032,23,59232.547,2032-06-07
2032,24,60756.992,2032-06-14
2032,25,61047.094,2032-06-21
2032,26,62054.55,2032-06-28
2032,27,63164.707,2032-07-05
2032,28,63930.434,2032-07-12
2032,29,63036.3,2032-07-19
2032,30,61933.75,2032-07-26
2032,31,60136.5,2032-08-02
2032,32,61214.117,2032-08-09
2032,33,62220.066,2032-08-16
2032,34,58514.492,2032-08-23
2032,35,57521.297,2032-08-30
2032,36,58248.0,2032-09-06
2032,37,54544.21,2032-09-13
2032,38,55505.023,2032-09-20
2032,39,53894.562,2032-09-27
2032,40,53774.332,2032-10-04
2032,41,53212.445,2032-10-11
2032,42,55414.105,2032-10-18
2032,43,55285.516,2032-10-25
2032,44,54185.438,2032-11-01
2032,45,53474.086,2032-11-08
2032,46,54329.59,2032-11-15
2032,47,57860.83,2032-11-22
2032,48,54443.15,2032-11-29
2032,49,55741.492,2032-12-06
2032,50,53810.242,2032-12-13
2032,51,54485.566,2032-12-20
2032,52,55228.42,2032-12-27
